receptor,N,meanScore,sdScore,skewScore,kurtScore,meanLEF,sdLEF,skewLEF,kurtLEF,meanNvdw,sdNvdw,skewNvdw,kurtNvdw,meanNinter,sdNinter,skewNinter,kurtNinter,experiment,batch
x3AVLaINy3B,1880,-6.36760638297873,0.467730796013512,0.0729046352438797,-2.92711475686585,-0.341840425531915,0.0138441079652729,6.38694484497171e-05,-2.99993614754037,38.6303191489362,5.37110952764923,9.61371465986153,6.61115748076058,1.84414893617021,0.844373533469951,-0.237592340002983,-2.76247085785423,140,762529
x3AVLb-dc,1880,7.96718085106384,6.33450408155839,13.3717562489024,10.368199457711,0.292257978723405,0.329829753623832,0.0362529098790284,-2.96375673313481,66.6058510638298,1.60627832233508,-0.859814584242848,-2.14041412026556,3.33617021276596,2.66453853536081,2.36595903990902,-0.63467028821484,140,762530
x3AVLbINfbA,1880,-6.64250000000001,1.24283058401545,0.514739000213048,-2.48539791666668,-0.352001063829786,0.0980250101193696,-0.00320211556992422,-2.99679873616984,39.261170212766,7.26310214580881,-17.5795403178073,14.5748642862525,1.74148936170213,0.741686645026531,-0.183317585667909,-2.81673117549418,140,762531
x3AVLbINfbB,1880,-6.66574468085107,0.966001630351641,0.31097031206854,-2.68911240380262,-0.353251063829787,0.164792769864266,-0.0090498111745601,-2.99095259601026,39.3867021276596,2.38733714220524,-1.89928754558071,-1.10121765127512,1.78989361702128,2.21069441182589,1.6286232767973,-1.37180992530555,140,762532
x3AVLbINleA,1880,-7.06941489361702,1.43096573299776,-0.682372755123693,-2.31780875113174,-0.370911702127658,0.016916201715905,9.53605881835925e-05,-2.99990466477705,38.111170212766,1.1114658547062,-0.411675916752004,-2.58843358608723,1.71010638297872,0.289970747158873,0.0280202229080819,-2.97198723027011,140,762533
x3AVLbINleB,1880,-6.79414893617022,0.305932439663019,-0.0311899207103254,-2.96881837558473,-0.358026063829786,0.166070237321009,0.00919066260722864,-2.99081178204306,35.6015957446808,3.39930844696884,3.85074143044046,0.8497171608571,1.44414893617021,2.55653108274927,2.17803756251966,-0.82254177984001,140,762534
x3AVLbINy3A,1880,-5.83946808510639,0.639638224283301,0.136342743481093,-2.86369352271013,-0.306573404255319,0.000573556817315762,1.09626639905319e-07,-2.99999989040252,30.8627659574468,3.1380687463175,3.28161869960654,0.280745812584893,1.44202127659574,0.442138882365187,-0.0651449310718888,-2.93487239701223,140,762535
x3AVLbINy3B,1880,-6.41202127659575,0.212077687738591,0.0149883273639369,-2.98501565942357,-0.343409574468085,0.0215961699581259,-0.000155423499751845,-2.99984461784178,38.8101063829787,6.81191830435793,-15.4632961082785,12.4591829824952,1.82765957446809,2.17291840623274,1.57343949841388,-1.42697902519993,140,762536
x3AVMa-dc,1880,-3.38095744680851,2.51971277870642,-2.11575457046054,-0.884808205070179,-0.232924999999999,0.221133820009024,-0.0162957197528321,-2.98370861479167,57.5420212765957,5.54349580669401,-10.2407239024725,7.23799994341354,3.22712765957447,1.22745415356978,-0.502080980901647,-2.49805256903576,140,762537
x3AVMaINfbA,1880,-6.54154255319149,1.0418196697464,0.361699839597605,-2.63839636996379,-0.347061170212766,0.00306198467871391,3.12441876347456e-06,-2.99999687641231,38.4515957446809,10.4543765338068,-36.4216390980096,33.4119512034108,1.43776595744681,0.43788243103073,-0.0638966738897707,-2.93612032216689,140,762538
x3AVMaINfbB,1880,-6.61505319148936,0.415163622033144,0.0574383287717137,-2.9425769494115,-0.35118989361702,0.125843579872037,-0.00527746472377175,-2.99472393904397,38.1090425531915,5.11040188341451,-8.70308689542548,5.70077193677447,1.36755319148936,0.367650984012447,-0.0450437641759903,-2.954968217142,140,762539
x3AVMaINleA,1880,-7.00537234042553,1.19494550650296,-0.475838317917547,-2.52428825165986,-0.367261170212765,0.0842835890425369,0.00236727794748541,-2.99763335173146,35.8632978723404,13.14019732584,57.5396193894098,54.5243142636161,1.36595744680851,0.366054814762021,-0.044653495134091,-2.95535838237513,140,762540
x3AVMaINleB,1880,-6.9709574468085,1.12934295031086,-0.425025416015949,-2.57508763769426,-0.365335638297871,0.0653530217326051,0.00142329379653157,-2.9985770847894,35.6260638297872,2.62676252976756,-2.29934868962107,-0.701262920627706,1.28297872340426,0.283054013740408,-0.0266994211542357,-2.97330768070017,140,762541
x3AVMaINy3A,1880,-6.12058510638297,0.620750221486684,0.128409447412856,-2.87162470857855,-0.322293085106382,0.0162974201031615,8.85117509184152e-05,-2.99991151179257,29.2393617021277,7.76270312118875,20.0811770457713,17.0758355968018,0.845212765957447,0.154828417290335,0.0079884874878526,-2.99201363739249,140,762542
x3AVMaINy3B,1880,-6.31601063829788,0.884224559088657,-0.26054836786338,-2.73952093613249,-0.339510106382978,0.0845123733017671,-0.00238014714319619,-2.99762048595886,37.3170212765957,3.31790381519768,-3.66851918290305,0.667543383129566,1.3781914893617,0.378292112348546,-0.0476889524609594,-2.95232373245812,140,762543
x3AVMb-dc,1880,7.72255319148936,10.4253262534493,-36.2195058050687,33.2098716764743,0.270321276595745,0.478448540473646,-0.0762840388882412,-2.92373625211861,60.5670212765957,2.56770426750226,-2.197117162228,-0.803467255168284,3.06010638297872,1.06038843869289,-0.374708184098397,-2.62539148558926,140,762544
x3AVMbINfbA,1880,-6.54393617021277,0.644107498184467,0.138254705195412,-2.8617820695639,-0.347429787234042,0.0794509206086967,0.00210358990649915,-2.99789696963332,38.3015957446809,5.30300630629812,-9.37146522249497,6.36897248000591,1.43031914893617,1.57009848599233,0.821517842582207,-2.17870067526782,140,762545
x3AVMbINfbB,1880,-6.6244680851064,0.275605223905112,-0.0253126783657517,-2.97469405462502,-0.351595744680851,0.0544187303108436,-0.000986870165991645,-2.99901339233439,37.9218085106383,5.07954261123995,8.59829668608305,5.59600960087516,1.37287234042553,0.627294515413401,0.131131247105044,-2.86890363286555,140,762546
x3AVMbINleA,1880,-7.00010638297872,0.300186230361529,0.0300292679379368,-2.96997871963181,-0.366969148936169,0.0800521443596889,-0.00213554708086343,-2.99786502095933,35.7771276595745,0.777334424952497,-0.201362694123334,-2.7986908669081,1.36914893617021,0.63101891033106,0.132692983626353,-2.86734231175495,140,762547
