bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
905413,905428,x3OU4-AS.pdbqt,PR,AS,VM,165,3OU4,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
905429,905444,x3OUA-AS.pdbqt,PR,AS,VM,165,3OUA,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905445,905460,x3OUB-AS.pdbqt,PR,AS,VM,165,3OUB,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905461,905476,x3OUC-AS.pdbqt,PR,AS,VM,165,3OUC,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
905477,905492,x3OUD-AS.pdbqt,PR,AS,VM,165,3OUD,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
905493,905508,x3OXV-A-AS.pdbqt,PR,AS,VM,165,3OXV,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905509,905524,x3OXV-B-AS.pdbqt,PR,AS,VM,165,3OXV,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905525,905540,x3OXW-A-AS.pdbqt,PR,AS,VM,165,3OXW,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905541,905556,x3OXW-B-AS.pdbqt,PR,AS,VM,165,3OXW,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905557,905572,x3OXX-A-AS.pdbqt,PR,AS,VM,165,3OXX,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905573,905588,x3OXX-B-AS.pdbqt,PR,AS,VM,165,3OXX,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
